index,Borough,Latitude,Longitude
0,Chiaia,40.833692601148236,14.240660681854136
1,Chiaia,40.83293311613425,14.221130137808036
2,Chiaia,40.82569388438412,14.21665660774971
3,Chiaia,40.83804225757527,14.225382124235251
4,Chiaia,40.83495829264154,14.21798105689918
5,Chiaia,40.835134463347075,14.229439499318694
6,Chiaia,40.839495568884125,14.23723697596301
7,Chiaia,40.83421369142685,14.238454234618164
8,Chiaia,40.828682950595095,14.218925124788306
9,Chiaia,40.832437256960425,14.213025990259693
10,Chiaia,40.836363750844434,14.233571349747168
11,Chiaia,40.83627182534879,14.240001567944006
12,Chiaia,40.8370569817515,14.218292983956351
13,Chiaia,40.83202179104261,14.241414544211285
14,Chiaia,40.83904131411768,14.232986321455678
15,Chiaia,40.83145109334349,14.21264073935255
16,Chiaia,40.83311048762834,14.22813822721057
17,Chiaia,40.835282383098644,14.230337462638248
18,Chiaia,40.835075750046435,14.221360719480717
19,Chiaia,40.834765399689545,14.229649465223753
20,Chiaia,40.83181598358046,14.22426154811768
21,Chiaia,40.83686913924744,14.240535868054007
22,Chiaia,40.836478557484305,14.213173760748228
23,Chiaia,40.83714658130454,14.224088660433484
24,Chiaia,40.83768197035088,14.242565152614544
25,Chiaia,40.83358480714704,14.229461227704716
26,Chiaia,40.839345060387785,14.240055319892505
27,Chiaia,40.833081819102546,14.228337946169876
28,Chiaia,40.82674103663703,14.225463981488632
29,Chiaia,40.8322720369323,14.225865102313342
30,Chiaia,40.83587513986857,14.238235658757432
31,Chiaia,40.83062969785895,14.214254432122265
32,Chiaia,40.83066293656648,14.214372066848535
33,Chiaia,40.82936921523975,14.216954257852828
34,Chiaia,40.83614042432508,14.222933359568561
35,Chiaia,40.83406716730307,14.240459324592601
36,Chiaia,40.82954885377194,14.219497897093483
37,Chiaia,40.83216581817446,14.232323149860731
38,Chiaia,40.83566194902048,14.224580767985815
39,Chiaia,40.828014329937126,14.21694448009083
40,Chiaia,40.828480388580886,14.22196798570423
